genres,movie_id,original_title,plot,cast
"['Adventure', 'Family', 'Drama', 'Comedy']",8326,Holes,"Stanley's family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake, he and his campmates are forced by the warden to dig holes in order to build character. What they don't know is that they are digging holes in order to search for a lost treasure hidden somewhere in the camp.","['Sigourney Weaver', 'Jon Voight', 'Tim Blake Nelson', 'Patricia Arquette', 'Shia LaBeouf', 'Khleo Thomas']"
"['Drama', 'Family', 'Romance']",35690,The Last Song,"A drama centered on a rebellious girl who is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.","['Miley Cyrus', 'Greg Kinnear', 'Bobby Coleman', 'Liam Hemsworth', 'Hallock Beals', 'Kelly Preston']"
"['Drama', 'History']",76203,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.","['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o"", 'Benedict Cumberbatch', 'Paul Dano', 'Sarah Paulson']"
"['Drama', 'Romance', 'Comedy', 'Music']",13497,Drumline,"A fish-out-of-water comedy about a talented street drummer from Harlem who enrolls in a Southern university, expecting to lead its marching band's drumline to victory. He initially flounders in his new world, before realizing that it takes more than talent to reach the top.","['Nick Cannon', 'Zoe Saldana', 'Orlando Jones', 'Leonard Roberts', 'GQ', 'Earl Poitier']"
"['Comedy', 'Romance']",35688,Why Did I Get Married Too?,Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.,"['Tyler Perry', 'Janet Jackson', 'Jill Scott', 'Sharon Leal', 'Malik Yoba', 'Richard T. Jones']"
"['Fantasy', 'Drama', 'Romance']",162,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest', 'Alan Arkin', 'Anthony Michael Hall', 'Vincent Price']"
"['Drama', 'Romance']",296096,Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.","['Emilia Clarke', 'Sam Claflin', 'Janet McTeer', 'Charles Dance', 'Brendan Coyle', 'Jenna Coleman']"
"['Drama', 'Comedy', 'Crime']",103370,Madea's Witness Protection,A Wall Street investment banker who has been set up as the linchpin of his company's mob-backed Ponzi scheme is relocated with his family to Aunt Madea's southern home.,"['Tyler Perry', 'Eugene Levy', 'Denise Richards', 'Doris Roberts', 'Devan Leos', 'Tom Arnold']"
"['Action', 'Crime', 'Thriller']",1051,The French Connection,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,"['Gene Hackman', 'Fernando Rey', 'Roy Scheider', 'Tony Lo Bianco', 'Marcel Bozzuffi', 'Frédéric de Pasquale']"
['Comedy'],376659,Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.","['Mila Kunis', 'Kristen Bell', 'Kathryn Hahn', 'Christina Applegate', 'Jada Pinkett Smith', 'Annie Mumolo']"
